num_second_hand,link,district,area,house_name,address,avg_price,build_year,builder_type,builder,num_building,num_house
0,https://sz.lianjia.com/xiaoqu/2411050197965/,福田区,香蜜湖,安侨苑,福田区香蜜湖侨香村香格丽苑西北处,,2011,塔楼,暂无信息,3,499
1,https://sz.lianjia.com/xiaoqu/248301033042793/,福田区,香蜜湖,深南中学家属楼,福田区香蜜湖红荔西路8153号,98850,1994,板楼/塔板结合,暂无资料,3,200
0,https://sz.lianjia.com/xiaoqu/2411546987868066/,福田区,香蜜湖,香蜜楼,福田区香蜜湖香梅路1033号,76684,1992,塔板结合, 重庆汇东房地产开发有限公司,4,67
1,https://sz.lianjia.com/xiaoqu/2411049793056/,福田区,香梅北,宏浩花园,福田区香梅北香梅路2004,78030,1998,塔板结合,深圳市宏浩实业有限公司,5,332
4,https://sz.lianjia.com/xiaoqu/2411099592809/,福田区,香蜜湖,新天国际名苑,福田区香蜜湖侨香路1025号,121600,2002,塔板结合,深圳国际俱乐部有限公司,11,470
0,https://sz.lianjia.com/xiaoqu/2411049482316/,福田区,香梅北,武警大厦景华苑,福田区香梅北福田街道武警大厦景华苑107号,,2004,塔楼,华景川集团有限公司,1,1117
1,https://sz.lianjia.com/xiaoqu/2411049493288/,福田区,香蜜湖,龙溪花园,福田区香蜜湖农林路38号,143321,1989,塔板结合,深圳市中洲房地产有限公司,38,616
2,https://sz.lianjia.com/xiaoqu/2411049533153/,福田区,香蜜湖,嘉园,福田区香蜜湖香蜜湖四号路3号,106855,2000,板楼,深圳市国免房地产开发有限公司,2,276
0,https://sz.lianjia.com/xiaoqu/24000000000311/,福田区,香梅北,名进投资大厦,福田区香梅北景田西路21-16号,,暂无信息,塔板结合,暂无信息,1,31
5,https://sz.lianjia.com/xiaoqu/2411049580505/,福田区,香梅北,特发小区,福田区香梅北侨香路1010号,105980,1995,板楼,深圳市特发房地产开发有限公司,20,612
0,https://sz.lianjia.com/xiaoqu/2420035914755923/,福田区,香梅北,深房传麒景苑,福田区香梅北景田北六街深房传麒景苑,,2018,塔楼,深圳市财富城投资有限公司,1,1088
3,https://sz.lianjia.com/xiaoqu/2411049478472/,福田区,香梅北,馨庭苑,福田区香梅北景田北街22号,91578,1995,板楼,伟柏控股集团有限公司,9,293
4,https://sz.lianjia.com/xiaoqu/2411049799719/,福田区,香梅北,香景大厦,福田区香梅北莲花路2034,64932,1996,塔楼,深圳市兴华房地产有限公司,2,338
4,https://sz.lianjia.com/xiaoqu/2411049468759/,福田区,香梅北,景田天健花园,福田区香梅北景田北六街2号,98531,1995,塔楼/板楼,深圳市天健房地产开发有限公司,17,270
10,https://sz.lianjia.com/xiaoqu/2411063706596/,福田区,香梅北,青海大厦,福田区香梅北北环大道7043号,53524,2001,塔板结合,深圳市青鹏实业有限公司,1,846
1,https://sz.lianjia.com/xiaoqu/2411049469800/,福田区,香梅北,景田怡华苑,福田区香梅北景田北街2号,80480,1997,板楼,深圳市广深铁路股份有限公司,2,140
3,https://sz.lianjia.com/xiaoqu/2411063735593/,福田区,香梅北,华盛领寓,福田区香梅北北环大道7039号,117706,2007,塔板结合,深圳市华盛房地产开发有限公司,1,276
0,https://sz.lianjia.com/xiaoqu/2411049483797/,福田区,香梅北,幸福家园,福田区香梅北景田北路24号,90350,1998,塔板结合,深圳市卓众实业有限公司,3,186
2,https://sz.lianjia.com/xiaoqu/2411049483769/,福田区,香梅北,香蜜湖唯珍府,福田区香梅北景田北街50号,199262,2002,塔板结合,深圳市景业房地产开发有限公司,14,147
3,https://sz.lianjia.com/xiaoqu/2411049479191/,福田区,香梅北,天明居,福田区香梅北香梅路2008号,91298,1998,塔板结合,深圳市寰宸实业有限公司 ,1,199
1,https://sz.lianjia.com/xiaoqu/2411049800563/,福田区,香梅北,翔名苑,福田区香梅北景田西路21,115613,2001,塔楼/塔板结合,深圳市名进投资发展有限公司,5,180
8,https://sz.lianjia.com/xiaoqu/2411049480522/,福田区,香梅北,万科城市花园,福田区香梅北香梅路2038号,93573,1997,塔板结合,万科地产开发有限公司,5,479
3,https://sz.lianjia.com/xiaoqu/2411049796078/,福田区,香梅北,康欣园,福田区香梅北景田西路15,74510,1999,塔板结合,深圳市康达尔（集团）股份有限公司,2,384
1,https://sz.lianjia.com/xiaoqu/2411049797103/,福田区,香梅北,赛格景苑,福田区香梅北景田西路17,87426,1997,塔板结合,深圳赛格集团,2,396
1,https://sz.lianjia.com/xiaoqu/2411049579348/,福田区,香梅北,嘉隆星苑,福田区香梅北香梅北路2003号,89334,2002,塔楼,深圳市特发集团有限公司,3,503
18,https://sz.lianjia.com/xiaoqu/2411049471415/,福田区,香梅北,七街公馆,福田区香梅北北环大道7045号,,2010,塔板结合,深圳市冰城置业有限公司,2,977
7,https://sz.lianjia.com/xiaoqu/2411049795506/,福田区,香梅北,俊景豪园,福田区香梅北香梅路2002,73438,2003,塔楼,深圳市鸿威房地产开发有限公司,3,600
1,https://sz.lianjia.com/xiaoqu/2411063523369/,福田区,香梅北,景尚雅苑,福田区香梅北北环大道7041号,132355,2002,塔板结合,深圳市文兴房地产开发有限公司,1,400
1,https://sz.lianjia.com/xiaoqu/2411049470665/,福田区,香梅北,景秀年华家园,福田区香梅北香梅路2040号,93747,2002,板楼,深圳市万济高科技产业投资发展有限公司,4,360
2,https://sz.lianjia.com/xiaoqu/2411048610361/,福田区,石厦,恒冠豪园,福田区石厦石厦北三街4东门,81582,2002,塔板结合,深圳市恒立冠投资有限公司,4,285
4,https://sz.lianjia.com/xiaoqu/2411048611464/,福田区,石厦,天健阳光华苑,福田区石厦石厦北六街2号,87036,1994,塔楼/塔板结合,深圳市天健房地产开发实业有限公司,2,360
1,https://sz.lianjia.com/xiaoqu/2411050194564/,福田区,石厦,众孚新村,福田区石厦福民路133号,67474,1995,塔板结合,振华盛实业（深圳）有限公司,3,420
1,https://sz.lianjia.com/xiaoqu/2411050188120/,福田区,石厦,蓝色海云居,福田区石厦石厦北一街9号,90854,2006,塔板结合,深发商,1,112
0,https://sz.lianjia.com/xiaoqu/2411050193496/,福田区,石厦,东方欣悦居,福田区石厦石厦北二街2号,88690,2002,塔楼/塔板结合,深圳市东方欣悦实业有限公司,2,122
4,https://sz.lianjia.com/xiaoqu/2411100349094/,福田区,石厦,葵花公寓,福田区石厦石厦北一街1号,126485,2005,塔板结合,深圳市洲际通实业发展有限公司,1,743
25,https://sz.lianjia.com/xiaoqu/2411063566263/,福田区,石厦,新天CBC,福田区石厦石厦街125号,60742,2014,塔楼,深圳市新天时代投资有限公司,3,1826
2,https://sz.lianjia.com/xiaoqu/2411048611096/,福田区,石厦,金地翠园,福田区石厦石厦北三街5号,94140,1999,塔板结合,金地（集团）股份有限公司,6,241
6,https://sz.lianjia.com/xiaoqu/2411048617544/,福田区,石厦,新新家园,福田区石厦石厦街35号,85905,2000,塔板结合,深圳市建设投资控股公司,4,1138
6,https://sz.lianjia.com/xiaoqu/2411050182660/,福田区,石厦,缔馨园,福田区石厦石厦北五街7,102630,1997,塔板结合,深圳市缔梦园房地产开发有限公司,2,353
8,https://sz.lianjia.com/xiaoqu/2411063029914/,福田区,石厦,星河明居,福田区石厦福民路125号,67111,1996,塔板结合,深圳市新怡和实业发展有限公司,2,792
7,https://sz.lianjia.com/xiaoqu/2411050625970/,福田区,石厦,时尚名居,福田区石厦石厦四街217号,99556,2002,板楼,深圳裕康实业有限公司,2,483
3,https://sz.lianjia.com/xiaoqu/2411048915728/,福田区,石厦,福田花园,福田区石厦益田五路49号,60450,1996,塔板结合,深圳福田建设局,6,323
6,https://sz.lianjia.com/xiaoqu/2411050213680/,福田区,石厦,皇达东方雅苑,福田区石厦益田路3002号,82436,1998,塔楼/塔板结合,深圳市鸿威房地产开发有限公司,6,680
4,https://sz.lianjia.com/xiaoqu/2411050194369/,福田区,石厦,众孚大厦,福田区石厦福民路139号,65164,1992,塔板结合,振华盛实业（深圳）有限公司,2,338
4,https://sz.lianjia.com/xiaoqu/2411048611237/,福田区,石厦,瑞和园,福田区石厦益田路3001号,74950,1996,塔板结合,深圳市瑞和开发商,3,434
10,https://sz.lianjia.com/xiaoqu/2411048611179/,福田区,石厦,明月花园,福田区石厦益田路3009号,74239,1992,板楼/塔板结合,深圳市东山实业有限公司,6,660
31,https://sz.lianjia.com/xiaoqu/2411050193803/,福田区,石厦,皇都广场,福田区石厦益田路3008号,49970,1999,塔板结合,深圳市津房物业发展有限公司,3,1154
1,https://sz.lianjia.com/xiaoqu/2411050183008/,福田区,石厦,合正佳园,福田区石厦益田路3011号,87549,2003,塔板结合,深圳市合正房地产开发有限公司,2,414
4,https://sz.lianjia.com/xiaoqu/2411050188987/,福田区,石厦,绿洲丰和,福田区石厦石厦北一街7号,99103,2005,塔板结合,深圳市润裕地产开发有限公司,2,725
