city,company_name,finance_status,registered_capital,recruit,field,location,latitude,longitude
上海-浦东新区,纽姆数控技术(上海)有限公司,,750.0万人民币,1-49人,工业设计,金科路2889弄长泰广场A座604室,31.205877,121.60196
深圳,深圳路辉物流设备有限公司,未融资,500万人民币,50-99人,仪器/电气/自动化,宝安区大洋路中粮（福安）机器人智造产业园,22.69456,113.82289
北京-朝阳区,北京博万数策科技有限公司,未融资,1200万人民币,100-499人,汽车/摩托车,朝阳区东四环中路嘉泰国际大厦306室,39.916563,116.487643
深圳,深圳市神拓机电股份有限公司,未融资,3279.8771万人民币,500-999人,机械/机电/重工,深圳市龙岗区横岗街道横坪公路138号,22.657842,114.231394
广州,广州市锦路电气设备有限公司,未融资,1050万人民币,1-49人,机电设备,广州市天河区中山大道路89号C211房,23.129162,113.264434
上海-嘉定区,北京赛博飞思科技有限公司,未融资,222.23万人民币,100-499人,机械/机电/重工,兴文路1399号,31.4196,121.189356
上海-徐汇区,奥尔托射频科技(上海)有限公司,,525.09万人民币,100-499人,特种设备,上海市徐汇区百色路100号V35栋,31.144574,121.446956
深圳-宝安区,深圳市北方祥麒汽车销售有限公司,未融资,500万人民币,1-49人,汽车/摩托车,深圳市宝安区西乡街道宝田二路臣田工业区第28栋一楼,22.555259,113.88402
上海-崇明区,上海中远海运重工有限公司,未融资,160000万人民币,500-999人,机械/机电/重工,上海市崇明区长兴岛丰福路666号,31.373289,121.700893
广州,广州市正又佳机电有限公司,未融资,800万人民币,1-49人,机械/机电/重工,琶洲宸悦路26-28号叁悦广场B塔1208,23.10138,113.384222
深圳-南山区,深圳市氢蓝时代动力科技有限公司,,8000万人民币,50-99人,汽车/摩托车,南头街道桃园路田厦金牛广场B座2125室,22.532937,113.926482
深圳-宝安区,百汇精密塑胶模具(深圳)有限公司,未融资,20770.0万人民币,2000-5000人,机械/机电/重工,沙井街道芙蓉工业城,22.738907,113.853297
广州,广州瑞凯汽车销售服务有限公司,未融资,1200万人民币,50-99人,汽车/摩托车,番禺区南村镇兴南大道741-751号,23.01053,113.38137
北京,阿克泰姆自动化系统(北京)有限公司,未融资,1200.0万人民币,1-49人,仪器/电气/自动化,海淀区北太平庄路18号城建大厦B707,39.968827,116.370929
上海-浦东新区,上海航天智能装备有限公司,未融资,12000万人民币,500-999人,机械/机电/重工,飞渡路,30.871779,121.832535
广州-番禺区,广州善思冠乐机械设备有限公司,未融资,100万人民币,1-49人,仪器/电气/自动化,东环街新骏一街6号上品商务中心1座1515室,22.973739,113.345902
广州-天河区,威斯科特,未融资,11256.0万人民币,50-99人,机械/机电/重工,天河区时代广场中座807,23.140391,113.31713
北京-平谷区,艾玛应泰,未融资,1050.0万人民币,1-49人,机械/机电/重工,平谷区兴谷经济技术开发区平谷西路17号,40.158237,117.101375
上海,上海创力集团,IPO上市,63656万人民币,500-999人,机械/机电/重工,上海市青浦工业园区崧复路1568号,31.171495,121.166602
深圳,联建建设,未融资,10000万人民币,100-499人,机械/机电/重工,福田区车公庙,22.52893,114.0063
深圳,深圳市红彤汽车股份有限公司,未融资,7000万人民币,500-999人,汽车/摩托车,深圳市罗湖区清水河一路与三路交汇处深业车城A09-A10,22.57684,114.11029
上海,三信电器,未融资,13080万人民币,500-999人,仪器/电气/自动化,浦东新区金海路2588号上海交大金桥科技园,31.264861,121.656187
深圳-南山区,得利捷(深圳)工业自动化有限公司,未融资,227.8万人民币,2000-5000人,仪器/电气/自动化,西丽留仙大道平山一路1号大园工业区10栋2层( 近大学城地铁站C出口）,22.583852,113.970413
广州-黄埔区,广东纳路纳米科技有限公司,天使轮,1040万人民币,1-49人,原材料加工,科丰路31号华南新材料创新园G1栋220,23.150171,113.459201
深圳-宝安区,深圳易天自动化设备,战略投资,7751.1683万人民币,100-499人,仪器/电气/自动化,沙井街道大王山西部工业园,22.729201,113.785435
上海,奇华顿食用香精香料(上海)有限公司,未融资,7224.28万人民币,500-999人,原材料加工,上海浦东新区金桥出口加工区敬业路668号,31.206102,121.6987
上海,捷尔杰(天津)设备有限公司上海分公司,未融资,,100-499人,机械/机电/重工,奉贤区肖南路465号,30.94843,121.44374
上海-嘉定区,卡斯马中国,未融资,17420.0万人民币,500-999人,汽车/摩托车,百安公路1501号,31.331601,121.191284
上海,上海长江斯迈普电梯有限公司,未融资,21700万人民币,100-499人,机械/机电/重工,嘉定区曹安公路3939号,31.270706,121.274709
上海,上海联界汽车科技有限公司,未融资,2000万人民币,50-99人,汽车/摩托车,百安路539,31.316986,121.200273
广州,广州新文塑料有限公司,未融资,12013.1万人民币,100-499人,原材料加工,广东省广州市广州经济技术开发区永和区永盛路18号,23.2207,113.57663
