restaurant_type,district,city,restaurant_name,address,score,avg_price,review_num,taste_rating,environment_rating,service_rating
私房菜,龙岗区,深圳,青瓦苑私房菜,大鹏古城东门戴屋巷1号,4.61,119,130,4.58,4.67,4.34
私房菜,龙岗区,深圳,阿林私房菜馆,坪山曾屋小区1巷6号101室,4.14,55,142,4.35,3.53,3.79
私房菜,龙岗区,深圳,桃缘客家私房菜,怡龙枫景8-D009,4.01,54,21,4.07,3.95,4.02
私房菜,龙岗区,深圳,狗嫂私房菜,岗贝路岗贝村26-2号,4.21,79,125,4.26,3.73,3.87
私房菜,龙岗区,深圳,艺匠私厨(艺栈店),官湖村湖园路20号,3.76,105,27,3.75,3.9,3.81
私房菜,龙岗区,深圳,勐韵昌私房菜,龙岗区清林路488号,4.05,,8,4.05,4.05,3.98
私房菜,龙岗区,深圳,@凡提驴庄· 烤全羊·私房菜,坂田街道布龙路329号,3.85,106,66,3.83,3.91,3.87
私房菜,龙岗区,深圳,味厨顺德私房菜,龙岗街道上圩小区龙园路458号西北,3.89,86,21,3.88,3.72,3.87
私房菜,龙岗区,深圳,喝二两私房菜,坂田街道长发西路34号B3栋1楼,3.94,56,130,3.95,3.94,3.81
私房菜,龙岗区,深圳,杜鹃山庄,深坑路163号,3.79,84,30,3.86,3.58,3.66
私房菜,龙岗区,深圳,蔡记私房菜,龙田街道南布社区日立环球配套宿舍区A2型宿舍A21112-A21117,3.6,58,22,3.59,3.59,3.71
私房菜,龙岗区,深圳,拾柒·墅,莲花路莲花山庄五村57号,3.82,,12,3.81,3.87,3.88
私房菜,龙岗区,深圳,源味私房菜,葵涌街道兴华路155-1号,3.63,65,35,3.76,3.58,3.6
东北菜,宝安区,深圳,餅來醬鐺·饼来酱挡(流塘店),前进二路流塘阳光茶城二层,4.8,66,1110,4.71,4.75,4.87
东北菜,宝安区,深圳,东北民俗村(宝安店),新安街道43区翻身路综合楼C4栋3楼,4.29,64,536,4.21,4.24,4.32
东北菜,宝安区,深圳,老郑家东北春饼店(西乡店),宝源路2003号璟运大厦底商,3.98,67,71,3.96,4.09,3.93
东北菜,宝安区,深圳,乡村铁锅炖,码头路83号、85号,4.01,75,77,3.92,3.89,4.04
东北菜,宝安区,深圳,老郑家东北春饼店(沙井店),沙井街道新沙路180号星光大厦首层,4.2,61,247,4.22,4.19,4.18
东北菜,宝安区,深圳,八旗满族包子(流塘店),西乡街道流塘路203号华联大厦2单元103室,3.88,61,101,3.92,3.82,3.84
东北菜,宝安区,深圳,东北民俗村(宝安中心店),新安街道新城大道风临州苑1栋B-07,4.1,62,127,4.09,3.99,4.05
东北菜,宝安区,深圳,老北方大骨庄,兴业路富通城公交站富通城1期对面,3.98,55,84,4.04,3.88,3.91
东北菜,宝安区,深圳,东北民俗村(港隆城店),宝民二路103号,3.95,69,289,4.01,3.89,4.05
东北菜,宝安区,深圳,东方饺子王(桃源居店),前进二路西乡桃源居三区1栋113商铺,3.67,55,63,3.73,3.69,3.65
东北菜,宝安区,深圳,满族包子(兴围店),宝安大道6020号兴围公交站旁,3.85,59,91,3.85,3.88,3.98
东北菜,宝安区,深圳,老边饺子(彩虹城店),西乡彩虹城1楼,4.2,43,265,4.17,4.22,4.1
东北菜,宝安区,深圳,家乡雪东北菜,石岩街道石龙社区工业二路1号惠科工业园厂房2栋一层,3.73,,17,3.71,3.81,3.83
东北菜,宝安区,深圳,老北方面饺王,熙龙湾1期4-106商铺,3.53,52,44,3.55,3.57,3.61
东北菜,宝安区,深圳,北厨味道精品东北菜(西乡店),西乡街道银田路4号,3.61,52,48,3.55,3.63,3.56
烧烤烤串,罗湖区,深圳,极炙·台湾精致炭火烧肉(京基100大厦店),蔡屋围五街48号涵舍3楼(地铁大剧院B出口经过京基100商场出来右手边）,4.83,226,4026,4.85,4.63,4.89
烧烤烤串,罗湖区,深圳,枪火串烧(罗湖总店),罗湖区东门南路阳光新干线裙楼113-114号,4.52,137,486,4.56,4.55,4.54
烧烤烤串,罗湖区,深圳,木屋烧烤(东门一店),新园路1号深圳戏院中海商城大厦负一层FY001号03铺位,4.72,79,1932,4.82,4.59,4.66
烧烤烤串,罗湖区,深圳,天台上见烧烤大排档(红岭路店),红岭中路1002号环宇大厦裙楼101-3号铺,4.53,97,529,4.64,4.6,4.56
烧烤烤串,罗湖区,深圳,巴汗羊肉串烧烤店,东晓路人保布心大厦,4.71,52,327,4.86,3.67,4.24
烧烤烤串,罗湖区,深圳,叁宝烤肉老西安人的烤肉(东园路店),东园路58号一楼,4.36,87,348,4.37,4.48,4.34
烧烤烤串,罗湖区,深圳,邢氏老太太烧烤(罗湖店),向西路40号,4.47,102,708,4.48,4.55,4.41
烧烤烤串,罗湖区,深圳,木屋烧烤(泥岗店),泥岗东路泥岗村牌坊口一楼,4.66,75,581,4.82,4.8,4.67
烧烤烤串,罗湖区,深圳,新沙烧烤·炭火原烧(黄贝岭店),凤凰路115号,4.32,79,613,4.39,4.51,4.35
烧烤烤串,罗湖区,深圳,大文蚝,福田区园岭食街108B号,4.2,123,22,4.37,4.07,4.11
烧烤烤串,罗湖区,深圳,新沙烧烤·炭火原烧(国贸店),嘉宾路3005号国际商业大厦北座1层,4.33,80,397,4.38,4.18,4.27
烧烤烤串,罗湖区,深圳,靓靓蒸虾·小龙虾·烧烤(罗湖向西店),南湖街道嘉宾东路1002号向西社区向西村西区1号一至三层,4.46,139,372,4.55,4.55,4.36
烧烤烤串,罗湖区,深圳,木屋烧烤(东门越港城店),人民北路1006号,4.73,76,779,4.74,4.62,4.61
烧烤烤串,罗湖区,深圳,哈赛羊肉串·丝绸之路主题餐厅,桂园北路49号,4.6,79,378,4.61,4.26,4.57
烧烤烤串,罗湖区,深圳,争鲜羊肉串(泥岗012店),金碧路大地苑南面1楼,3.96,,17,3.97,4.07,4.02
云贵菜,宝安区,深圳,云海肴云南菜(宝安壹方城店),新安街道宝安中心区新湖路99号壹方城L4层032-033号铺,3.95,90,1437,3.97,4.42,4.16
云贵菜,盐田区,深圳,雲之南雲南小鍋米线,东海三街 山海四季城A-05,3.77,,14,3.78,3.71,3.74
云贵菜,宝安区,深圳,俏凤凰(海雅缤纷城店),建安一路99号海雅缤纷城购物中心B1层,4.14,40,473,4.16,4.34,4.12
云贵菜,宝安区,深圳,贵州豆腐王,新安三路一定好旁,3.61,62,20,3.64,3.56,3.61
云贵菜,宝安区,深圳,半夏云南味道,福永地铁站B出口星港同创汇瑶光座108,3.93,48,41,3.91,3.95,3.95
云贵菜,宝安区,深圳,雲香阁·云南菜,嘉禧时代广场,3.88,49,21,3.89,3.82,3.85
云贵菜,宝安区,深圳,云味八方(塘尾店),和沙路44号,3.79,,7,3.79,3.71,3.75
云贵菜,盐田区,深圳,乐湘汇旗舰店(壹海城店),深盐路与海山路交汇处壹海城二区1层,3.77,,,3.78,3.71,3.74
云贵菜,盐田区,深圳,筑味(大梅沙店),大梅沙雅兰酒店2104号,3.41,25,37,3.44,3.45,3.42
云贵菜,盐田区,深圳,边城时光,彩陶路19-3,3.56,,1,3.56,3.56,3.52
云贵菜,宝安区,深圳,贵州老乡村,福永街道兴业一路331号,3.53,58,1,3.53,3.53,3.53
云贵菜,宝安区,深圳,贵州人家,兴业一路331号,3.61,,5,3.65,3.59,3.56
云贵菜,宝安区,深圳,贵州烙锅,上围园新村七巷与上围园新村八巷交叉口东50米,3.49,,2,3.47,3.49,3.49
云贵菜,宝安区,深圳,夜市贵州烙锅,凤凰大道与凤凰富源街交叉口西北角,3.49,,,3.49,3.49,3.49
云贵菜,宝安区,深圳,黔心黔意,中心路丽莎花都商铺32号,3.75,35,7,3.75,3.65,3.75
云贵菜,宝安区,深圳,贵州烙锅,沙井路168号,3.47,,1,3.47,3.4,3.56
云贵菜,宝安区,深圳,贵州烙锅,东环路276号附近,3.52,,1,3.52,3.52,3.52
云贵菜,宝安区,深圳,四川家常菜馆,西乡街道鹤洲路鹤洲宏盛隆步行街A15铺,3.52,,1,3.52,3.52,3.52
云贵菜,宝安区,深圳,贵州苗家米豆腐,宝安大道固戍社区下围园新村四巷19号19-4号,3.52,,,3.52,3.52,3.52
云贵菜,福田区,深圳,云海肴汽锅鸡(中心城店),福华一路新怡景商业中心L层RL1094A,4.29,93,1565,4.22,4.59,4.45
云贵菜,福田区,深圳,呐咪傣园•云南菜(石厦店),新洲路石厦西村113-1号,4.69,90,1244,4.73,4.36,4.67
云贵菜,福田区,深圳,云海肴汽锅鸡(中航城天虹购物中心店),中航路天虹购物中心负一楼B143号,4.31,91,5885,4.17,4.65,4.45
云贵菜,福田区,深圳,阿婉贵州苗家酸汤鱼(梅林店),梅林路梅林四村3栋1楼,4.25,110,1177,4.21,3.94,3.86
云贵菜,福田区,深圳,大树脚云南菜,东园路105号,4.54,77,431,4.59,3.79,4.06
云贵菜,福田区,深圳,壹菌·云南菜,滨河大道北泰然十一路深业泰然大厦A座二楼06号,4.28,108,2084,4.37,4.46,4.37
云贵菜,福田区,深圳,苗乡楼贵州味道(卓悦汇店),上梅林中康路与梅林路交叉口东北角卓悦汇5层,4.01,106,827,4.03,4.47,4.07
云贵菜,福田区,深圳,黔派·虾子羊肉粉,振华路100-6号,4.17,27,22,4.17,4.14,4.21
云贵菜,福田区,深圳,鱼当家贵州苗家酸汤鱼,梅村路上梅林新村18号2楼,4.27,86,343,4.37,4.5,4.22
云贵菜,福田区,深圳,遵义虾子张六羊肉粉(车公庙店),泰然九路金百味南侧隔壁,4.22,22,364,4.38,4.21,4.05
云贵菜,福田区,深圳,问巷弄漫生活餐饮(梅林店),梅林街道龙尾支路171号,3.89,85,205,3.92,4.2,3.98
云贵菜,福田区,深圳,甘思咪哚·云南菜(皇庭广场店),福华路皇庭广场g层,4.13,87,1033,4.32,4.65,4.25
云贵菜,福田区,深圳,甘思咪哚·云南菜(kkone店),下沙1号街kkoneL217,4.29,72,110,4.27,4.56,4.47
云贵菜,福田区,深圳,贵州美食人家,福田街道海滨社区福民路2号西门皇庭居福民路2-6号,4.29,,,4.27,4.56,4.47
云贵菜,福田区,深圳,滇味铜锅米线,深业上城裙楼L1层139号商铺食代馆S14号铺,3.65,,13,3.68,3.65,3.69
其他美食,坪山区,深圳,小雨点糖水店,中兴路48号,3.8,28,84,3.81,3.64,3.71
其他美食,坪山区,深圳,将军烧鹅饮食店,泰山路京基御景印象家园D37-38号,3.85,58,29,3.88,3.83,3.81
其他美食,坪山区,深圳,坪山迎宾馆·弘宴中餐厅,新合路88号,3.69,,4,3.62,3.65,3.62
其他美食,坪山区,深圳,金龟露营小镇,金龟社区金龟露营小镇同石村,3.71,,13,3.75,3.77,3.73
其他美食,坪山区,深圳,一徽一味徽菜馆,坪山雕塑艺术创意园,3.71,,23,3.53,3.53,3.53
其他美食,坪山区,深圳,江西莲花血鸭土菜(坪山区二分店),东纵路157-5号,3.77,,12,3.82,3.64,3.73
其他美食,坪山区,深圳,逸香居四季椰子鸡(竹坑店),竹坑村金牛东路58-9号,3.77,,9,3.72,3.66,3.67
其他美食,坪山区,深圳,老张餐厅,马峦街道光背村,3.73,,4,3.9,3.45,3.48
其他美食,坪山区,深圳,宛生花,坪山大道力高君御花园10栋130商铺,3.44,,8,3.56,3.48,3.51
其他美食,坪山区,深圳,马东食府,东纵路175号后面,3.72,,7,3.78,3.61,3.78
其他美食,坪山区,深圳,马峦山九寨沟,坪山街道岭背,3.28,,1,3.28,3.28,3.28
其他美食,坪山区,深圳,花间餐厅,行政一路4-168号,3.69,,4,3.69,3.78,3.78
其他美食,坪山区,深圳,世界美食(益田假日世界店),深汕路168号益田假日世界3层,3.69,,,3.69,3.78,3.78
其他美食,坪山区,深圳,壹品四季养生椰子鸡,坑梓街道翠景路56号南门嘉邻中心3楼304号商铺,3.53,,9,3.66,3.64,3.56
其他美食,坪山区,深圳,马峦山老围村叶生饭店,坪山街道嶂顶,3.53,,,3.66,3.64,3.56
烧烤烤串,福田区,深圳,沙头四季大排档,福强路4139号,4.31,147,2140,4.52,3.73,4.02
烧烤烤串,福田区,深圳,极炙·台湾精致炭火烧肉(车公庙店),泰然九路21-2号,4.84,236,2486,4.85,4.62,4.89
烧烤烤串,福田区,深圳,白招牌烧烤·把把烧(水围店),福田街道水围社区水围村水围街33号龙轩豪庭8号铺,4.12,83,410,4.19,4.4,4.34
烧烤烤串,福田区,深圳,白玉串城·朝鲜族烧烤专门店(车公庙店),泰然二路泰然工贸园201栋首层2号,4.63,102,2390,4.66,4.33,4.26
烧烤烤串,福田区,深圳,木屋烧烤(皇庭广场店),福华三路118号,4.52,85,2203,4.54,4.61,4.33
烧烤烤串,福田区,深圳,你瞅啥东北烧烤(车公庙店),泰然七路泰然八路18号,4.63,97,284,4.66,4.69,4.68
烧烤烤串,福田区,深圳,牛炙烤肉(车公庙店),泰然二路泰然工贸园201栋1楼,4.56,89,1201,4.65,4.59,4.47
烧烤烤串,福田区,深圳,张姐烤肥牛(车公庙店),车公庙泰然四路泰然工贸园205栋,4.64,98,1250,4.79,4.06,4.08
烧烤烤串,福田区,深圳,西北领头羊,梅林路金丰花园1栋108号－115号(9号线孖岭站C口斜对面20米),4.64,109,1206,4.67,4.3,4.22
烧烤烤串,福田区,深圳,牛这里清汤火锅·夜间烧烤,新闻路特区报社晶城广场一楼112号,4.42,97,1599,4.54,4.56,4.34
烧烤烤串,福田区,深圳,串总管·延边朝鲜族串城(欢乐海岸店),曲水湾A区1栋1-B1A,4.57,110,109,4.52,4.76,4.67
烧烤烤串,福田区,深圳,李记湛光蚝莊(八卦岭五分店),园岭街道鹏盛社区八卦路八卦岭工业区5栋110,4.57,97,900,4.67,4.25,4.44
烧烤烤串,福田区,深圳,靓靓蒸虾·小龙虾·烧烤(福田梅林店),梅村一路梅林生活中心东门,3.78,166,53,3.91,3.96,3.95
烧烤烤串,福田区,深圳,天台上见烧烤大排档(红岭路店),红岭中路1002号环宇大厦裙楼101-3号铺,4.53,97,529,4.64,4.6,4.56
烧烤烤串,福田区,深圳,张姐烤肥牛(梅林总店),梅林路天欣汽车生活馆院内,4.31,96,527,4.52,3.88,4.04
粥粉面,龙华区,深圳,盛和品的米粉铺(民治店),民治街道梅龙路樟坑百易广场c1-015,4.59,27,719,4.75,3.75,4.75
粥粉面,坪山区,深圳,苏晓玥鸭血粉丝(坪山六和城店),坪山街道深汕路六和商业广场L1层1004号,3.95,28,77,4.03,3.95,4.09
粥粉面,龙华区,深圳,旺吉利粥檔總公司(龙华店),和平路金銮时代大厦一层107号,3.77,49,51,3.9,4.16,4.07
粥粉面,龙华区,深圳,三两粉·湖南手工米粉(龙华壹方天地店),人民路壹方天地B区负一层食壹号美食街,4.72,27,243,4.72,4.73,4.68
粥粉面,龙华区,深圳,红荔村肠粉(73店龙华店),龙华街道办人民路西侧华侨花园华侨楼181-182铺,4.1,25,340,4.34,4.24,4.18
粥粉面,龙华区,深圳,遇见小面(壹方天地店),龙华街道景龙社区人民路4022号2栋壹方天地A区B1-043A,4.49,27,415,4.52,4.52,4.37
粥粉面,坪山区,深圳,劉華砂锅粥,三湖工业大道23号,3.49,86,27,3.62,3.42,3.41
粥粉面,坪山区,深圳,潮汕手工面,坪山新区坪山街道为民街15号,3.86,,18,3.87,3.64,3.78
粥粉面,坪山区,深圳,潮汕粿条面海鲜粥,坪山区光祖北路横坪路3号,3.71,32,7,3.71,3.55,3.69
